LotArea,TotalBsmtSF,1stFlrSF,GrLivArea,SalePrice,RegularLotShape,LandIsLvl,LotConfigCL,LotAdjacencyType,HouseCondition,YrBuilt,WasRemodeled,VeneerType,HeatingQuality,EleSystem,BsmtHasBath,HasHalfBath,Bedrooms,RemainingRooms,AdditionalRooms,NumFireplaces,GarageAreaByCar,HasDeck,HasPool,MonthSold,YearSold
11049,1234,1234,1234,179900,1,1,1,0,2,1,0,0,0,0,0,0,2,4,2,0,2,0,0,0,2
10552,1398,1700,1700,165500,0,1,0,0,1,1,0,0,2,0,1,1,3,2,0,1,2,0,0,3,4
7313,1561,1561,1561,277500,1,1,0,0,2,1,0,1,0,0,1,0,1,4,2,1,2,1,0,7,1
13418,1117,1132,2452,309000,1,1,0,0,2,1,1,2,0,0,0,1,3,5,3,1,3,1,0,8,0
10859,1097,1097,1097,145000,1,1,1,0,1,1,1,0,0,0,0,1,2,3,1,0,2,1,0,5,3
8532,1297,1297,1297,153000,1,1,0,0,1,1,1,1,2,0,1,0,2,2,0,1,2,0,0,9,3
7922,1057,1057,1057,109000,1,1,0,0,1,1,1,0,1,0,1,0,2,2,0,0,1,0,0,0,4
6040,0,1152,1152,82000,1,1,0,0,1,1,0,0,1,1,0,0,1,4,2,0,0,0,0,5,2
8658,1088,1324,1324,160000,1,1,0,0,1,1,0,1,0,0,0,0,2,3,1,1,2,0,0,11,0
16905,1350,1328,1328,170000,1,1,0,0,1,1,0,0,2,0,1,1,1,3,1,2,1,0,0,6,1
9180,840,884,884,144000,0,1,2,0,1,1,0,0,2,0,1,0,1,3,1,0,2,1,0,11,1
9200,938,938,938,130250,0,1,2,0,1,1,1,0,1,0,1,0,2,2,0,0,1,1,0,6,2
7945,1150,1150,1150,141000,1,1,0,0,1,1,0,0,0,1,1,0,2,3,1,0,1,0,0,4,0
7658,1752,1752,1752,319900,1,1,0,0,2,1,0,1,0,0,1,0,1,4,2,1,2,1,0,1,4
12822,1434,1518,2149,239686,0,1,2,0,2,1,0,0,0,0,1,1,0,5,3,1,2,1,0,7,3
11096,1656,1656,1656,249700,1,1,0,0,2,1,0,0,0,0,0,0,2,4,2,0,3,0,0,6,1
4456,736,736,1452,113000,1,1,0,0,1,0,1,0,2,0,0,0,1,6,4,0,0,0,0,5,3
7742,955,955,955,127000,1,1,0,0,1,1,0,0,0,0,1,0,2,3,1,0,1,0,0,0,1
13869,794,794,1470,177000,0,1,1,0,1,1,0,0,2,0,1,0,2,3,1,0,2,0,0,6,1
6240,816,816,1176,114500,1,1,0,0,1,0,1,0,1,0,0,0,2,3,1,1,2,1,0,8,0
8472,816,816,816,110000,0,0,1,2,1,1,0,0,1,0,1,0,1,3,1,0,2,1,0,4,4
7134,384,1360,1360,130000,1,0,0,0,1,1,0,0,1,0,0,0,2,3,1,1,2,0,0,1,1
10175,1425,1425,1425,180500,0,1,0,0,1,1,0,1,2,0,0,0,2,4,2,1,2,0,0,6,2
2645,970,983,1739,172500,1,1,0,0,2,1,1,1,0,0,1,1,2,4,2,0,2,1,0,7,3
11645,860,860,1720,196500,0,1,1,0,2,1,0,0,0,0,0,1,2,4,2,0,2,0,0,7,0
7200,780,780,780,124900,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2
13072,1158,1158,1158,158000,1,1,0,2,1,1,0,0,0,0,1,1,2,2,0,0,2,0,0,4,0
7200,530,581,1111,101000,1,1,0,0,1,0,1,0,1,0,0,0,2,3,1,0,1,0,0,2,1
6442,1370,1370,1370,202500,0,1,0,0,2,1,0,2,0,0,0,0,1,4,2,1,2,1,0,9,1
10300,576,902,1710,140000,0,0,0,2,2,0,1,0,2,0,0,0,2,6,4,0,2,1,0,3,4
9375,1057,1057,2034,219500,1,1,0,0,2,1,1,1,0,0,1,1,2,5,3,0,2,1,0,1,3
10665,1453,1479,1479,226000,0,1,0,0,2,1,0,1,0,0,1,0,2,4,2,0,2,1,0,5,1
4608,747,747,747,80000,1,1,1,1,1,0,1,0,1,0,0,0,1,2,0,0,1,0,0,5,4
15593,1304,1304,2287,225000,1,1,1,0,2,1,0,0,1,0,0,0,2,4,2,1,2,0,0,6,0
7599,845,845,845,129500,1,1,1,0,1,1,1,0,1,0,1,0,1,2,0,0,2,0,0,5,1
10141,832,885,1718,185000,0,1,1,0,2,1,0,1,2,0,0,1,2,4,2,1,2,0,0,11,3
10200,1086,1086,1086,144900,1,1,0,0,1,1,1,1,2,0,1,0,2,3,1,0,2,0,0,4,4
5790,840,840,1605,107400,1,1,1,0,1,0,1,0,2,0,0,0,2,5,3,0,1,0,0,4,4
1596,462,526,988,91000,1,1,0,0,1,1,0,0,1,0,1,0,1,3,1,0,1,1,0,10,3
8475,952,952,952,135750,0,1,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,3,2
8635,672,1072,1285,127000,1,1,0,0,1,1,1,0,1,0,1,0,1,4,2,0,1,0,0,0,2
10440,440,682,1230,110000,1,1,1,0,1,0,1,0,2,0,0,1,1,3,1,0,2,1,0,4,3
13000,896,1182,2142,193500,1,1,1,0,1,1,0,1,1,0,0,1,3,4,2,1,1,0,0,5,3
4500,1237,1337,1337,153500,1,1,3,0,1,1,0,1,0,0,1,0,1,3,1,0,2,0,0,2,0
10206,1563,1563,1563,245000,1,1,0,0,2,1,0,2,0,0,0,0,2,3,1,1,3,1,0,9,2
8892,1065,1065,1065,126500,0,1,0,0,1,1,0,1,2,0,0,1,2,3,1,0,2,1,0,6,1
8530,384,804,1474,168500,0,1,0,0,2,1,1,1,2,0,0,1,2,4,2,1,2,1,0,4,3
16059,1288,1301,2417,260000,1,1,1,0,2,1,1,1,0,0,0,1,3,5,3,1,2,1,0,3,0
11911,684,684,1560,174000,0,1,0,0,1,1,0,0,0,0,0,1,2,3,1,1,2,1,0,2,3
3951,612,612,1224,164500,1,1,1,0,1,1,0,2,0,0,0,1,1,2,0,0,2,0,0,5,3
8470,1013,1013,1526,85000,0,1,1,1,1,0,1,0,1,0,0,0,1,4,2,0,0,0,0,9,3
8070,990,990,990,123600,1,1,0,0,1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,7,1
7200,0,1040,1040,109900,1,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,0,0,6,0
8500,1235,1235,1235,98600,1,1,0,0,1,1,0,1,1,0,0,0,1,4,2,0,2,0,0,11,0
13360,876,964,964,163500,0,0,0,0,1,0,1,0,0,0,1,0,1,3,1,0,2,0,0,7,3
7200,1214,1260,2291,133900,1,1,1,0,1,0,1,0,0,0,1,0,3,5,3,1,2,0,0,10,1
9337,824,905,1786,204750,0,1,0,0,1,1,0,0,0,0,1,1,2,4,2,0,2,0,0,4,1
9765,680,680,1470,185000,0,1,1,0,1,1,0,1,2,0,0,1,2,3,1,1,2,1,0,3,3
10264,1588,1588,1588,214000,0,1,0,0,2,1,0,1,0,0,0,0,2,3,1,0,2,1,0,7,0
10921,960,960,960,94750,1,0,0,0,1,1,0,1,1,1,1,0,2,3,1,0,1,1,0,4,1
10625,458,835,835,83000,1,1,1,0,1,0,1,0,3,0,0,0,1,3,1,0,1,0,0,4,4
9320,950,1225,1225,128950,0,1,0,0,1,1,0,0,3,0,1,1,2,3,1,0,0,1,0,0,4
10603,1610,1610,1610,205000,0,1,0,0,1,1,1,1,2,0,1,0,2,3,1,2,2,1,0,1,4
9206,741,977,1732,178000,1,1,0,0,1,1,0,1,1,0,0,1,2,4,2,1,2,1,0,5,4
7018,0,1535,1535,118964,1,0,0,0,1,1,0,0,1,0,0,0,3,4,2,0,2,0,0,5,3
10402,1226,1226,1226,198900,0,1,1,0,2,1,0,0,0,0,0,0,2,3,1,0,3,0,0,4,4
7758,1040,1226,1818,169500,1,1,1,0,2,0,1,1,0,1,0,1,3,3,1,2,1,0,0,5,1
9375,1053,1053,1992,250000,1,1,0,0,2,1,1,1,0,0,0,1,2,6,4,1,2,1,0,7,2
10800,641,1047,1047,100000,1,1,0,0,1,0,1,0,2,0,0,0,1,4,2,0,1,0,0,7,1
6000,789,789,789,115000,1,1,0,0,1,1,1,0,0,0,0,0,1,3,1,0,1,0,0,3,2
8500,793,997,1517,115000,1,1,1,1,1,0,1,0,1,1,0,0,2,4,2,0,0,0,0,7,1
9525,994,1216,1855,136900,1,1,0,0,1,1,1,0,2,0,0,0,3,3,1,0,1,1,0,9,0
7750,384,774,1430,180000,0,1,0,0,2,1,0,0,0,0,0,1,2,4,2,1,2,1,0,3,4
7259,1028,1436,2320,259500,0,1,0,0,1,0,1,0,0,0,1,1,2,6,4,1,1,1,0,6,1
3230,729,729,1458,176000,1,1,1,0,1,1,0,1,2,0,0,1,1,3,1,1,2,0,0,5,1
11616,1092,1092,1092,139000,1,1,0,0,1,1,0,1,1,0,1,0,2,3,1,1,1,0,0,8,3
8536,1125,1125,1125,155000,1,1,1,0,1,1,1,0,2,0,0,1,1,3,1,0,2,1,0,3,1
8461,728,728,1456,163990,1,1,0,0,1,1,1,0,0,0,0,1,2,5,3,1,2,0,0,6,0
6060,732,772,1123,100000,1,1,0,0,1,0,1,0,2,0,0,0,2,1,0,0,1,0,0,5,1
9464,1080,1080,1080,136000,1,1,1,0,1,1,0,1,2,0,0,0,2,2,0,0,1,0,0,5,2
7892,1199,1199,1199,153900,1,1,0,0,1,1,0,0,0,0,0,0,1,3,1,0,2,0,0,2,2
17043,1362,1586,1586,181000,0,1,2,0,1,1,1,0,1,0,0,0,2,4,2,1,2,1,0,0,3
6780,520,520,754,84500,1,1,0,0,1,0,1,0,2,0,1,0,1,3,1,0,0,1,0,5,0
4928,1078,958,958,128000,0,1,0,0,1,1,0,0,1,0,0,0,1,3,1,1,2,0,0,1,1
4388,672,840,840,87000,0,0,0,1,1,0,1,0,0,0,0,0,2,2,0,1,0,0,0,5,1
7590,660,660,1348,155000,1,1,0,3,1,1,0,1,1,0,0,1,2,3,1,1,2,1,0,6,0
8973,1008,1053,1053,150000,1,1,0,0,1,1,1,1,1,1,1,1,2,3,1,0,2,0,0,6,0
14200,924,1216,2157,226000,1,1,1,0,2,1,0,1,0,0,0,1,3,4,2,2,2,1,0,4,0
12224,992,1022,2054,244000,0,1,1,0,1,1,0,1,0,0,1,1,2,4,2,1,2,1,0,6,3
7388,1063,1327,1327,150750,1,1,1,0,1,1,1,0,2,0,1,0,2,4,2,0,2,0,0,6,1
6853,1267,1296,1296,220000,0,1,0,0,2,1,1,1,0,0,1,0,1,4,2,0,2,1,0,5,3
10335,1461,1721,1721,180000,0,1,0,0,1,1,1,0,2,0,0,1,2,4,2,1,2,0,0,6,0
10400,1304,1682,1682,174000,1,1,0,0,2,1,0,1,2,0,0,0,2,4,2,1,2,1,0,4,2
10355,1214,1214,1214,143000,0,1,1,0,1,1,0,1,1,0,0,0,2,2,0,1,1,0,0,6,1
9066,1004,1004,1852,230000,0,1,0,0,2,1,1,1,0,0,0,1,2,4,2,2,3,1,0,11,2
15426,928,928,1764,231500,0,1,0,0,1,1,0,0,0,0,1,1,2,4,2,0,2,1,0,7,3
10500,864,864,864,115000,1,1,3,0,1,1,0,0,1,0,0,0,2,2,0,1,0,0,0,3,4
11645,1734,1734,1734,260000,1,1,0,0,2,1,0,0,0,0,1,0,2,4,2,0,2,1,0,0,0
8520,910,910,1385,166000,1,1,1,1,1,1,0,0,3,0,0,0,3,2,0,0,2,0,0,5,4
10335,1490,1501,1501,204000,0,1,0,0,2,1,0,1,0,0,1,0,2,3,1,0,2,1,0,5,3
9100,1728,1728,1728,125000,1,1,0,2,1,1,0,1,1,0,1,0,3,4,2,0,2,0,0,10,0
2522,970,970,1709,130000,1,1,0,0,1,1,1,2,0,0,0,0,2,4,2,0,2,0,0,3,0
6120,715,875,875,105000,1,1,1,0,1,0,1,0,1,1,1,0,1,3,1,0,1,1,0,10,3
9505,884,884,2035,222500,0,1,2,0,2,1,0,1,0,0,0,1,2,5,3,1,2,1,0,4,4
7500,1080,1080,1080,141000,1,1,0,0,2,1,1,1,0,0,1,0,2,3,1,0,0,0,0,3,2
6240,896,896,1344,115000,1,1,0,0,1,0,1,0,2,1,0,0,2,4,2,0,1,1,0,3,0
10356,969,969,969,122000,1,1,1,0,1,1,0,0,1,0,0,1,2,2,0,0,2,0,0,0,1
14803,825,1097,1993,190000,0,1,2,0,1,1,0,1,2,0,0,1,3,4,2,1,2,0,0,5,0
13500,1602,1252,1252,235000,1,1,0,0,1,1,1,0,2,0,1,0,0,3,1,1,2,1,0,2,2
11340,1200,1200,1200,125000,1,1,1,0,1,0,1,0,1,1,0,0,3,3,1,0,1,0,0,2,0
9600,572,572,1096,79000,1,1,1,1,1,0,1,0,3,1,0,0,1,3,1,0,0,0,0,3,2
7200,0,1040,1040,109500,1,1,0,0,1,1,0,0,1,1,0,0,1,3,1,0,2,0,0,5,0
12003,774,774,1968,269500,1,1,1,0,2,1,1,1,0,0,0,1,3,4,2,1,3,0,0,4,4
12552,991,991,1947,254900,1,1,1,0,2,1,1,0,0,0,0,1,2,5,3,1,2,0,0,4,4
11120,1232,1232,1232,162500,0,1,2,0,1,1,0,0,1,0,0,0,2,3,1,0,2,0,0,5,2
12182,1541,1541,1541,220000,1,1,1,0,2,1,0,1,0,0,0,0,2,4,2,1,2,0,0,4,4
5500,882,882,882,103200,1,1,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1
5400,1149,1149,1616,152000,1,1,1,0,1,0,1,0,2,1,0,0,2,2,0,0,1,0,0,9,1
10106,644,808,1355,127500,1,1,0,0,1,0,1,0,2,0,1,0,3,2,0,0,0,1,0,8,2
10562,1582,1610,2161,325624,1,1,0,0,2,1,0,2,0,0,1,1,2,5,3,1,3,1,0,10,1
8244,840,840,1720,183500,0,1,0,0,2,1,0,0,0,0,0,1,2,4,2,1,2,1,0,4,1
16669,1686,1707,1707,228000,0,1,1,0,2,1,0,1,1,0,0,1,1,4,2,1,2,1,0,0,0
12358,720,854,1382,128500,0,1,0,1,1,0,1,0,1,0,0,1,1,5,3,0,2,1,0,4,1
5306,1064,1064,1767,239000,0,1,0,0,2,1,0,0,2,0,1,0,1,3,1,1,2,1,0,5,0
10197,1362,1362,1362,163000,0,1,0,0,1,1,0,1,1,0,1,1,2,3,1,1,2,0,0,5,2
12416,1606,1651,1651,184000,0,1,0,0,1,1,0,2,1,0,1,0,2,4,2,1,2,1,0,10,2
10029,1151,1164,2060,211000,0,1,1,0,1,1,1,1,1,0,1,1,3,4,2,1,2,0,0,8,1
13650,1052,1252,1920,172500,1,1,0,0,1,1,0,0,0,0,1,0,3,4,2,1,2,0,0,6,0
8520,968,968,968,100000,1,1,0,0,1,0,1,0,1,0,0,0,1,3,1,0,2,0,0,6,1
2117,756,769,1525,177000,1,1,0,0,1,1,0,1,0,0,0,1,2,2,0,1,2,0,0,5,1
7588,793,901,1802,200100,1,1,0,0,2,0,1,0,2,0,0,1,3,5,3,1,1,0,0,6,0
9060,0,1340,1340,120000,1,1,0,1,1,1,1,1,0,0,0,0,2,4,2,1,1,1,0,5,1
11426,1362,1362,2082,200000,1,1,0,0,2,1,0,0,0,0,0,1,2,3,1,0,2,1,0,5,2
7438,504,936,1252,127000,0,1,0,2,1,0,1,0,2,0,0,0,2,2,0,0,2,1,0,5,0
9947,1188,1217,1217,173000,0,1,2,0,2,1,1,0,0,0,1,0,2,3,1,0,2,1,0,5,3
10410,660,808,1656,135000,1,1,0,0,1,0,1,0,0,0,0,1,2,5,3,0,1,0,0,7,3
7018,1086,1224,1224,153337,1,0,0,1,1,1,0,2,1,0,1,1,1,4,2,2,2,1,0,5,3
4923,1593,1593,1593,286000,1,1,0,0,2,1,1,0,0,0,1,1,0,5,3,1,2,0,0,7,2
7472,725,725,1479,184000,0,1,2,0,2,1,1,1,2,0,1,1,3,3,1,0,2,0,0,5,1
9017,1431,1431,1431,192000,0,1,0,0,2,1,0,0,0,0,1,0,2,3,1,0,2,0,0,8,3
2522,970,970,1709,130000,1,1,0,0,2,1,0,2,0,0,0,0,2,4,2,0,2,0,0,4,0
7180,864,864,864,127000,0,1,0,0,1,1,0,0,1,0,0,0,2,2,0,0,1,0,0,4,2
2280,855,855,1456,148500,1,1,3,0,1,1,0,0,1,0,0,1,2,4,2,1,2,1,0,6,3
9416,1726,1726,1726,311872,1,1,0,0,2,1,0,2,0,0,1,0,2,5,3,1,3,1,0,8,1
5520,755,929,2229,104000,1,1,1,0,1,0,1,0,0,0,0,0,3,3,1,0,0,0,0,6,3
9591,1713,1713,1713,274900,1,1,0,0,2,1,1,1,0,0,1,0,2,4,2,1,3,0,0,0,3
8546,1121,1121,1121,140000,1,1,1,0,1,1,1,0,0,0,0,0,1,3,1,0,2,1,0,2,4
10125,1196,1279,1279,171500,1,1,0,0,1,1,0,0,1,0,1,0,2,3,1,2,2,1,0,1,2
7000,617,865,1310,112000,1,1,1,1,1,0,1,0,2,0,0,0,1,4,2,0,1,0,0,4,0
4438,848,848,848,149000,1,1,0,0,1,1,0,1,0,0,1,0,0,2,0,1,2,1,0,0,2
3500,720,720,1284,110000,1,1,0,0,1,1,1,0,1,0,0,1,1,3,1,0,1,0,0,3,3
11851,1424,1442,1442,180500,1,1,1,0,2,1,0,0,0,0,0,0,2,2,0,0,2,0,0,4,3
13673,1140,1696,1696,143900,0,1,2,2,1,1,0,0,1,0,0,1,2,5,3,1,1,0,0,2,1
12493,1100,1100,1100,141000,0,1,0,0,1,1,0,0,1,0,1,0,2,3,1,1,1,1,0,3,2
14364,1157,1180,2062,277000,0,0,0,0,2,1,1,1,0,0,1,1,2,4,2,1,2,1,0,3,1
8250,1092,1092,1092,145000,1,1,0,0,1,1,0,2,0,0,1,0,2,3,1,0,2,0,0,6,2
5604,864,864,864,98000,1,1,0,0,1,0,1,0,1,1,1,0,1,3,1,0,0,0,0,3,2
10420,1212,1212,1212,186000,1,1,1,0,1,1,0,0,0,0,0,0,2,3,1,0,2,1,0,2,4
8640,900,932,1852,252678,1,1,0,0,2,1,0,0,0,0,1,1,2,4,2,1,2,1,0,6,3
13568,990,990,990,156000,0,1,2,0,1,1,0,0,0,0,1,0,2,2,0,0,2,1,0,6,0
10900,689,689,1392,161750,0,1,3,0,1,1,0,1,0,0,0,1,2,3,1,0,1,0,0,2,4
10011,1070,1236,1236,134450,0,1,0,0,1,1,1,1,1,0,1,0,1,4,2,1,1,0,0,4,0
8450,1436,1436,1436,210000,1,1,0,0,2,1,0,1,0,0,1,0,2,5,3,0,2,1,0,3,2
9906,686,810,1328,107000,1,1,0,0,1,0,1,0,3,0,0,0,2,5,3,0,1,0,0,8,0
15660,798,1137,1954,311500,0,1,1,0,2,0,1,1,0,0,1,1,2,5,3,2,2,0,0,4,2
3010,1248,1248,1248,167240,1,1,0,0,2,1,1,1,0,0,0,0,1,3,1,0,2,1,0,2,0
8990,1498,1498,1498,204900,0,1,0,0,2,1,0,0,0,0,0,0,1,3,1,0,2,1,0,3,0
8068,1010,1010,2267,200000,0,1,0,0,1,1,0,0,0,0,0,1,3,4,2,1,2,1,0,11,3
11475,713,811,1552,179900,1,1,0,2,1,1,0,0,1,0,1,1,2,3,1,1,2,1,0,1,0
10500,864,864,864,97000,1,1,3,0,1,1,0,0,2,0,0,0,1,2,0,0,2,1,0,2,3
1680,630,630,1302,112000,1,1,0,0,1,1,0,1,1,0,0,1,2,3,1,0,1,0,0,4,3
1869,483,483,987,106000,1,1,0,0,1,1,0,1,1,0,0,1,1,3,1,0,1,0,0,8,2
8521,912,912,912,125000,1,1,3,1,1,1,0,0,1,0,0,0,2,2,0,1,1,0,0,4,4
3182,1373,1555,1555,192500,1,1,0,0,2,1,1,1,0,0,0,0,1,5,3,1,2,1,0,4,3
8760,1194,1194,1194,148000,1,1,0,0,1,1,0,1,1,0,1,0,2,3,1,0,1,0,0,3,4
1680,483,483,987,94500,1,1,0,0,1,1,0,1,1,0,0,1,1,3,1,1,1,0,0,5,0
10650,894,894,894,128200,1,1,1,0,1,1,0,0,1,0,1,0,2,2,0,0,1,1,0,1,4
7851,860,860,1960,216500,1,1,0,0,1,1,0,0,0,0,1,1,3,4,2,2,2,1,0,4,4
1680,483,483,987,89500,1,1,0,0,1,1,0,1,1,0,0,1,1,3,1,0,1,0,0,7,2
8773,1414,1414,1414,185500,1,1,3,0,2,1,0,1,0,0,0,0,2,3,1,0,2,1,0,4,4
9453,996,1014,1744,194500,0,1,2,2,2,1,1,0,0,0,0,1,2,4,2,0,2,1,0,1,4
12030,1694,1694,1694,318000,1,1,0,0,2,1,0,1,0,0,0,0,2,4,2,0,3,1,0,11,1
8741,735,798,1487,113000,1,1,0,0,1,0,1,0,1,1,0,1,2,4,2,1,1,0,0,3,4
9000,1566,1566,1566,262500,1,1,0,0,2,1,0,2,0,0,1,0,2,4,2,0,2,1,0,3,4
3880,686,866,866,110500,1,1,0,0,1,0,1,0,2,0,0,0,1,2,0,0,0,1,0,7,1
5000,540,889,1440,79000,1,1,1,0,1,0,1,0,2,1,0,0,2,3,1,0,1,0,0,3,0
10762,626,626,1217,120000,1,1,1,0,1,1,0,0,1,0,0,1,2,3,1,1,1,0,0,3,3
8880,948,1222,2110,205000,0,1,0,0,2,1,1,0,0,0,1,1,2,5,3,2,2,0,0,4,4
9142,1020,908,1928,137000,1,1,0,0,1,0,1,0,2,1,0,0,3,5,3,0,1,0,0,3,0
11310,1367,1375,1375,140000,1,1,0,0,1,1,0,0,0,0,0,0,1,3,1,1,2,0,0,5,0
11317,840,840,1668,180000,1,1,0,0,2,1,0,1,0,0,0,1,2,5,3,0,2,1,0,8,1
5350,728,1306,1306,76500,0,1,0,0,1,0,1,0,0,0,0,0,2,3,1,0,0,1,0,4,4
4750,1573,1625,1625,235000,0,0,0,0,2,1,1,2,0,0,1,0,1,3,1,1,2,1,0,11,1
8366,798,798,1640,173000,0,1,0,0,1,1,0,0,0,0,0,1,2,3,1,0,2,1,0,11,2
9350,1302,1302,1302,158000,1,1,0,0,1,1,1,1,0,0,1,0,2,4,2,0,1,1,0,9,1
8400,1314,1314,1314,145000,1,1,0,0,1,1,0,0,1,0,1,0,2,2,0,0,1,1,0,5,4
8738,975,1005,2291,230000,0,1,0,0,2,1,0,1,0,0,0,1,3,4,2,1,2,1,0,1,0
8791,864,864,1728,207500,0,1,0,0,1,1,0,0,0,0,0,1,2,4,2,0,2,1,0,4,2
8814,1604,1604,1604,220000,1,1,0,0,2,1,0,2,0,0,1,1,2,5,3,1,2,1,0,2,3
12435,963,963,1792,231500,1,1,0,0,2,1,0,1,0,0,0,1,2,4,2,1,2,0,0,4,2
12702,0,882,882,97000,1,1,0,0,1,1,0,0,2,1,0,0,1,2,0,0,1,0,0,11,2
8471,506,1212,1212,151000,0,1,1,0,1,1,1,1,1,0,1,0,2,3,1,1,2,1,0,6,0
5500,926,926,1316,130000,1,1,1,0,1,0,1,0,1,0,1,0,2,3,1,0,2,0,0,3,4
5232,680,764,764,73000,0,0,0,1,1,0,1,0,2,1,0,0,1,2,0,0,2,0,0,5,2
12090,1422,1422,1422,175500,0,1,0,0,1,1,0,1,1,0,0,0,2,4,2,1,2,1,0,5,2
11207,802,802,1511,185000,0,0,3,0,1,1,0,0,2,0,1,1,2,5,3,1,2,1,0,5,0
8400,720,1052,2192,179500,1,0,0,0,1,0,1,0,0,0,0,1,3,4,2,1,1,1,0,6,2
6900,740,778,778,120500,1,1,0,0,1,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,2
7917,1143,1113,1113,148000,0,1,1,0,1,1,0,1,1,0,1,1,2,3,1,1,1,1,0,4,1
10728,1095,1095,1939,266000,1,1,0,0,2,1,0,0,2,0,0,1,2,5,3,1,3,1,0,7,0
11764,1152,1164,2270,290000,0,1,2,0,2,1,1,1,0,0,0,1,3,5,3,1,3,1,0,3,4
9600,1240,1632,1632,139000,1,1,0,1,1,1,1,1,2,0,1,0,2,3,1,1,1,1,0,3,3
8314,816,816,816,124500,1,1,1,0,1,1,0,0,1,0,0,0,1,3,1,0,1,1,0,5,1
